OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude
1265,JOE JOES TRAVEL CENTER,US-78 & RED BANKS RD S,Red Banks,MS,435,2.97233333,34.82392,-89.56458
1304,LOVES TRAVEL STOP #667,"I-85, EXIT 152",Mebane,NC,65,3.94733333,36.06824,-79.30767
1315,CIRCLE K #2720218,US-421 BUS & US-15/US-501/US-1,Sanford,NC,177,3.08233333,35.40175,-79.23528
1325,SCOTCHMAN #3303,US-421 & US-74,Wilmington,NC,245,3.629,34.24248,-77.85919
1326,SPEEDWAY #7949,US-301/US-264 ALT & CR-1674,Wilson,NC,205,3.199,35.73605,-77.94987
1333,PUMP & PANTRY #15,US-30,Grand Island,NE,330,3.30733333,40.92288,-98.34445
1340,BORDENTOWN VALERO,"NJ TNPK, EXIT 7 & US-206",Bordentown,NJ,230,3.499,40.1405,-74.70329
1342,Delta,"I-80, EXIT 47B",Fairfield,NJ,115,3.20233333,38.2763,-122.04738
1344,BOLLA TRUCK STOP #193,US-202 & SR-17,Mahwah,NJ,115,3.53233333,41.09552,-74.1568
1348,GLOBAL,SR-73,Palmyra,NJ,150,3.359,41.18802,-74.36306
